City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Dembi Dolo,ET,8.5333,34.8,59.86,71,100,3.8,overcast clouds
261,Kruisfontein,ZA,-34.0033,24.7314,56.88,60,92,2.98,overcast clouds
262,Bereda,ES,43.2686,-7.5406,57.42,100,100,12.21,overcast clouds
263,Urubicha,BO,-15.3833,-62.95,70.09,100,100,0.85,overcast clouds
264,Brie-Comte-Robert,FR,48.6833,2.6167,43.93,99,100,12.66,overcast clouds
265,Ocampo,MX,21.65,-101.5,45.99,45,1,6.98,clear sky
266,Prado,BR,-17.3411,-39.2208,73.94,91,15,7.09,few clouds
267,Benguela,AO,-12.5763,13.4055,74.86,84,92,1.72,overcast clouds
268,Raton,US,36.9034,-104.4391,21.33,45,0,4.61,clear sky
269,Padang,ID,-0.9492,100.3543,82.45,63,72,6.51,broken clouds
270,Patti,IN,31.2808,74.8572,46.47,60,41,5.01,scattered clouds
271,Suntar,RU,62.1444,117.6319,-26.23,97,98,4.79,overcast clouds
272,Lanciano,IT,42.2167,14.3882,49.93,56,18,6.98,few clouds
273,Nikolskoye,RU,59.7035,30.7861,28.29,96,100,9.1,light snow
274,Sundern,DE,51.3333,8.0,42.85,85,60,9.26,broken clouds
275,Pinkafeld,AT,47.3667,16.1167,37.76,67,100,3.49,overcast clouds
276,Kobelyaky,UA,49.1489,34.1965,33.82,96,65,7.85,broken clouds
277,Lasa,IT,46.6166,10.7002,38.28,95,100,2.86,overcast clouds
278,Brookside,US,39.6671,-75.7269,43.18,78,0,0.0,clear sky
279,Jacareacanga,BR,-6.2222,-57.7528,72.3,99,100,1.92,overcast clouds
280,Labuhan,ID,-6.8844,112.2051,81.66,79,100,18.48,heavy intensity rain
281,Bambous Virieux,MU,-20.3428,57.7575,81.21,73,40,2.3,scattered clouds
282,Mehamn,NO,71.0357,27.8492,24.75,68,0,33.38,clear sky
283,Samana,DO,19.2056,-69.3369,74.7,86,2,10.04,clear sky
284,Svodin,SK,47.9105,18.4997,40.14,94,98,4.76,overcast clouds
285,Gigmoto,PH,13.7796,124.39,84.16,74,89,4.29,overcast clouds
286,Evanston,US,42.0411,-87.6901,56.82,90,100,14.97,overcast clouds
287,Soteapan,MX,18.2333,-94.8667,66.22,87,97,1.9,overcast clouds
288,Eyl,SO,7.9803,49.8164,75.16,71,10,17.25,clear sky
289,Mocajuba,BR,-2.5842,-49.5072,72.63,96,87,2.37,moderate rain
290,Okhotsk,RU,59.3833,143.3,1.13,80,100,6.93,overcast clouds
291,Luanda,AO,-8.8368,13.2343,77.0,88,75,1.14,broken clouds
292,Kuito,AO,-12.3833,16.9333,59.58,94,100,7.63,light rain
293,Tuxtla,MX,16.75,-93.1167,68.81,84,36,1.86,scattered clouds
294,Isabela,PH,6.7085,121.9711,84.25,72,99,9.55,overcast clouds
295,Kerouane,GN,9.2667,-9.0167,68.61,38,52,2.24,broken clouds
296,Kiunga,PG,-6.1219,141.2906,87.1,57,100,2.06,overcast clouds
297,Mogadishu,SO,2.0371,45.3438,75.07,83,20,10.36,few clouds
298,Linguere,SN,15.3953,-15.1193,72.77,44,100,5.68,overcast clouds
299,Ilulissat,GL,69.2167,-51.1,14.02,73,100,14.97,light shower snow
300,Hornepayne,CA,49.2138,-84.7705,33.33,100,100,5.75,overcast clouds
301,Dunedin,NZ,-45.8742,170.5036,59.81,95,39,7.14,scattered clouds
302,Banda Aceh,ID,5.5577,95.3222,81.01,71,100,14.18,overcast clouds
303,Puerto Suarez,BO,-18.95,-57.8,73.63,91,37,3.27,scattered clouds
304,Dandeli,IN,15.2667,74.6167,80.56,47,5,5.03,clear sky
